Sl.,State\UT,GDP
30,Andaman & Nicobar Islands,6150
1,Andhra Pradesh #,464184
2,Arunachal Pradesh,13545
3,Assam,159460
4,Bihar,343663
31,Chandigarh,29076
5,Chhattisgarh,185682
32,Delhi,391125
6,Goa,48897
7,Gujarat,765638
8,Haryana,388917
9,Himachal Pradesh,82585
10,Jammu & Kashmir,87570
11,Jharkhand,172773
12,Karnataka,614607
13,Kerala,396282
14,Madhya Pradesh,434730
15,Maharashtra,1510132
16,Manipur,14324
17,Meghalaya,21922
18,Mizoram,10297
19,Nagaland,17749
20,Odisha,272980
33,Puducherry,21077
21,Punjab,317556
22,Rajasthan,517615
23,Sikkim,12377
24,Tamil Nadu,854238
25,Telangana,391751
26,Tripura,26810
27,Uttar Pradesh,862746
28,Uttarakhand,122897
29,West Bengal,706561
